,Transformation,AAM,Class
30,Negishi-Pd,[C:13]([Zn:14][Br:15])([C:16]([H:26])([H:27])[H:28])([C:17]([H:29])([H:30])[H:31])[H:25].[n:1]1[c:5]([H:19])[c:7]([H:21])[c:11]([H:24])[n:12]1-[c:10]1[c:2]([H:18])[c:3]([Br:4])[c:6]([H:20])[c:8]([H:22])[c:9]1[H:23]>>[Br:4][Zn:14][Br:15].[n:1]1[c:5]([H:19])[c:7]([H:21])[c:11]([H:24])[n:12]1-[c:10]1[c:2]([H:18])[c:3]([C:13]([C:16]([H:26])([H:27])[H:28])([C:17]([H:29])([H:30])[H:31])[H:25])[c:6]([H:20])[c:8]([H:22])[c:9]1[H:23],0
31,CEC-Ni-photoredox,[C:16]([Br:17])([C:18]([H:38])([H:39])[H:40])([C:19]([H:41])([H:42])[H:43])[H:37].[C:1]1([H:20])([H:21])[C:7]([H:25])([H:26])[N:10]([C:14]([H:34])([H:35])[H:36])[C:11]([H:28])([H:29])[C:13]([H:32])([H:33])[N:15]1[C:12]([c:8]1[c:6]([H:24])[c:5]([H:23])[c:3]([Br:4])[c:2]([H:22])[c:9]1[H:27])([H:30])[H:31]>>[Br:4][Br:17].[C:1]1([H:20])([H:21])[C:7]([H:25])([H:26])[N:10]([C:14]([H:34])([H:35])[H:36])[C:11]([H:28])([H:29])[C:13]([H:32])([H:33])[N:15]1[C:12]([c:8]1[c:6]([H:24])[c:5]([H:23])[c:3]([C:16]([C:18]([H:38])([H:39])[H:40])([C:19]([H:41])([H:42])[H:43])[H:37])[c:2]([H:22])[c:9]1[H:27])([H:30])[H:31],0
32,BF3K-Ni-photoredox,[C:16]([B-:17]([F:18])([F:19])[F:20])([C:21]([H:42])([H:43])[H:44])([C:22]([H:45])([H:46])[H:47])[H:41].[C:1]1([H:24])([H:25])[C:7]([H:29])([H:30])[N:10]([C:14]([H:38])([H:39])[H:40])[C:11]([H:32])([H:33])[C:13]([H:36])([H:37])[N:15]1[C:12]([c:8]1[c:6]([H:28])[c:5]([H:27])[c:3]([Br:4])[c:2]([H:26])[c:9]1[H:31])([H:34])[H:35]>>[Br:4][B-:17]([F:18])([F:19])[F:20].[C:1]1([H:24])([H:25])[C:7]([H:29])([H:30])[N:10]([C:14]([H:38])([H:39])[H:40])[C:11]([H:32])([H:33])[C:13]([H:36])([H:37])[N:15]1[C:12]([c:8]1[c:6]([H:28])[c:5]([H:27])[c:3]([C:16]([C:21]([H:42])([H:43])[H:44])([C:22]([H:45])([H:46])[H:47])[H:41])[c:2]([H:26])[c:9]1[H:31])([H:34])[H:35],0
33,COOH-Ni-photoredox,[C:16]([C:20]([C:18]([O:17][H:42])=[O:19])([C:21]([H:44])([H:45])[H:46])[H:43])([H:39])([H:40])[H:41].[C:1]1([H:22])([H:23])[C:7]([H:27])([H:28])[N:10]([C:14]([H:36])([H:37])[H:38])[C:11]([H:30])([H:31])[C:13]([H:34])([H:35])[N:15]1[C:12]([c:8]1[c:6]([H:26])[c:5]([H:25])[c:3]([Br:4])[c:2]([H:24])[c:9]1[H:29])([H:32])[H:33]>>[Br:4][C:18]([O:17][H:42])=[O:19].[C:1]1([H:22])([H:23])[C:7]([H:27])([H:28])[N:10]([C:14]([H:36])([H:37])[H:38])[C:11]([H:30])([H:31])[C:13]([H:34])([H:35])[N:15]1[C:12]([c:8]1[c:6]([H:26])[c:5]([H:25])[c:3]([C:20]([C:16]([H:39])([H:40])[H:41])([C:21]([H:44])([H:45])[H:46])[H:43])[c:2]([H:24])[c:9]1[H:29])([H:32])[H:33],0
34,BF3K-Pd-Suzuki,[C:16]([B-:17]([F:18])([F:19])[F:20])([C:21]([H:42])([H:43])[H:44])([C:22]([H:45])([H:46])[H:47])[H:41].[C:1]1([H:24])([H:25])[C:7]([H:29])([H:30])[N:10]([C:14]([H:38])([H:39])[H:40])[C:11]([H:32])([H:33])[C:13]([H:36])([H:37])[N:15]1[C:12]([c:8]1[c:6]([H:28])[c:5]([H:27])[c:3]([Br:4])[c:2]([H:26])[c:9]1[H:31])([H:34])[H:35]>>[Br:4][B-:17]([F:18])([F:19])[F:20].[C:1]1([H:24])([H:25])[C:7]([H:29])([H:30])[N:10]([C:14]([H:38])([H:39])[H:40])[C:11]([H:32])([H:33])[C:13]([H:36])([H:37])[N:15]1[C:12]([c:8]1[c:6]([H:28])[c:5]([H:27])[c:3]([C:16]([C:21]([H:42])([H:43])[H:44])([C:22]([H:45])([H:46])[H:47])[H:41])[c:2]([H:26])[c:9]1[H:31])([H:34])[H:35],0
35,MIDA-Pd-Suzuki,[C:1]1([H:30])([H:31])[C:7]([H:35])([H:36])[N:10]([C:14]([H:44])([H:45])[H:46])[C:11]([H:38])([H:39])[C:13]([H:42])([H:43])[N:15]1[C:12]([c:8]1[c:6]([H:34])[c:5]([H:33])[c:3]([Br:4])[c:2]([H:32])[c:9]1[H:37])([H:40])[H:41].[O:16]=[C:29]1[O:22][B:18]([C:17]([C:27]([H:55])([H:56])[H:57])([C:28]([H:58])([H:59])[H:60])[H:47])[O:19][C:20](=[O:21])[C:24]([H:51])([H:52])[N:25]([C:23]([H:48])([H:49])[H:50])[C:26]1([H:53])[H:54]>>[Br:4][B:18]1[O:19][C:20](=[O:21])[C:24]([H:51])([H:52])[N:25]([C:23]([H:48])([H:49])[H:50])[C:26]([H:53])([H:54])[C:29](=[O:16])[O:22]1.[C:1]1([H:30])([H:31])[C:7]([H:35])([H:36])[N:10]([C:14]([H:44])([H:45])[H:46])[C:11]([H:38])([H:39])[C:13]([H:42])([H:43])[N:15]1[C:12]([c:8]1[c:6]([H:34])[c:5]([H:33])[c:3]([C:17]([C:27]([H:55])([H:56])[H:57])([C:28]([H:58])([H:59])[H:60])[H:47])[c:2]([H:32])[c:9]1[H:37])([H:40])[H:41],0
36,CEC-Ni-Weix,[C:16]([Br:17])([C:18]([H:38])([H:39])[H:40])([C:19]([H:41])([H:42])[H:43])[H:37].[C:1]1([H:20])([H:21])[C:7]([H:25])([H:26])[N:10]([C:14]([H:34])([H:35])[H:36])[C:11]([H:28])([H:29])[C:13]([H:32])([H:33])[N:15]1[C:12]([c:8]1[c:6]([H:24])[c:5]([H:23])[c:3]([Br:4])[c:2]([H:22])[c:9]1[H:27])([H:30])[H:31]>>[Br:4][Br:17].[C:1]1([H:20])([H:21])[C:7]([H:25])([H:26])[N:10]([C:14]([H:34])([H:35])[H:36])[C:11]([H:28])([H:29])[C:13]([H:32])([H:33])[N:15]1[C:12]([c:8]1[c:6]([H:24])[c:5]([H:23])[c:3]([C:16]([C:18]([H:38])([H:39])[H:40])([C:19]([H:41])([H:42])[H:43])[H:37])[c:2]([H:22])[c:9]1[H:27])([H:30])[H:31],0
37,Negishi-Pd,[C:16]([Zn:17][Br:18])([C:19]([H:39])([H:40])[H:41])([C:20]([H:42])([H:43])[H:44])[H:38].[C:1]1([H:21])([H:22])[C:7]([H:26])([H:27])[N:10]([C:14]([H:35])([H:36])[H:37])[C:11]([H:29])([H:30])[C:13]([H:33])([H:34])[N:15]1[C:12]([c:8]1[c:6]([H:25])[c:5]([H:24])[c:3]([Br:4])[c:2]([H:23])[c:9]1[H:28])([H:31])[H:32]>>[Br:4][Zn:17][Br:18].[C:1]1([H:21])([H:22])[C:7]([H:26])([H:27])[N:10]([C:14]([H:35])([H:36])[H:37])[C:11]([H:29])([H:30])[C:13]([H:33])([H:34])[N:15]1[C:12]([c:8]1[c:6]([H:25])[c:5]([H:24])[c:3]([C:16]([C:19]([H:39])([H:40])[H:41])([C:20]([H:42])([H:43])[H:44])[H:38])[c:2]([H:23])[c:9]1[H:28])([H:31])[H:32],0
38,BF3K-Ni-photoredox,[C:1]([C:6]([H:32])([H:33])[H:34])([C:13]([H:39])([H:40])[H:41])([C:16]([H:42])([H:43])[H:44])[O:22][C:18]([C:15]([N:14]1[C:12]([H:37])([H:38])[C:11]([C:21]([H:51])([H:52])[H:53])([H:36])[N:10]([c:4]2[n:3][c:2]([H:31])[c:8]([Br:9])[c:7]([H:35])[n:5]2)[C:20]([H:49])([H:50])[C:19]1([H:47])[H:48])=[O:17])([H:45])[H:46].[C:23]([B-:24]([F:25])([F:26])[F:27])([C:28]([H:55])([H:56])[H:57])([C:29]([H:58])([H:59])[H:60])[H:54]>>[Br:9][B-:24]([F:25])([F:26])[F:27].[C:1]([C:6]([H:32])([H:33])[H:34])([C:13]([H:39])([H:40])[H:41])([C:16]([H:42])([H:43])[H:44])[O:22][C:18]([C:15]([N:14]1[C:12]([H:37])([H:38])[C:11]([C:21]([H:51])([H:52])[H:53])([H:36])[N:10]([c:4]2[n:3][c:2]([H:31])[c:8]([C:23]([C:28]([H:55])([H:56])[H:57])([C:29]([H:58])([H:59])[H:60])[H:54])[c:7]([H:35])[n:5]2)[C:20]([H:49])([H:50])[C:19]1([H:47])[H:48])=[O:17])([H:45])[H:46],0
39,CEC-Ni-photoredox,[C:1]([C:6]([H:28])([H:29])[H:30])([C:13]([H:35])([H:36])[H:37])([C:16]([H:38])([H:39])[H:40])[O:22][C:18]([C:15]([N:14]1[C:12]([H:33])([H:34])[C:11]([C:21]([H:47])([H:48])[H:49])([H:32])[N:10]([c:4]2[n:3][c:2]([H:27])[c:8]([Br:9])[c:7]([H:31])[n:5]2)[C:20]([H:45])([H:46])[C:19]1([H:43])[H:44])=[O:17])([H:41])[H:42].[C:23]([Br:24])([C:25]([H:51])([H:52])[H:53])([C:26]([H:54])([H:55])[H:56])[H:50]>>[Br:9][Br:24].[C:1]([C:6]([H:28])([H:29])[H:30])([C:13]([H:35])([H:36])[H:37])([C:16]([H:38])([H:39])[H:40])[O:22][C:18]([C:15]([N:14]1[C:12]([H:33])([H:34])[C:11]([C:21]([H:47])([H:48])[H:49])([H:32])[N:10]([c:4]2[n:3][c:2]([H:27])[c:8]([C:23]([C:25]([H:51])([H:52])[H:53])([C:26]([H:54])([H:55])[H:56])[H:50])[c:7]([H:31])[n:5]2)[C:20]([H:45])([H:46])[C:19]1([H:43])[H:44])=[O:17])([H:41])[H:42],0
40,COOH-Ni-photoredox,[C:1]([C:6]([H:30])([H:31])[H:32])([C:13]([H:37])([H:38])[H:39])([C:16]([H:40])([H:41])[H:42])[O:22][C:18]([C:15]([N:14]1[C:12]([H:35])([H:36])[C:11]([C:21]([H:49])([H:50])[H:51])([H:34])[N:10]([c:4]2[n:3][c:2]([H:29])[c:8]([Br:9])[c:7]([H:33])[n:5]2)[C:20]([H:47])([H:48])[C:19]1([H:45])[H:46])=[O:17])([H:43])[H:44].[C:23]([C:27]([C:25]([O:24][H:55])=[O:26])([C:28]([H:57])([H:58])[H:59])[H:56])([H:52])([H:53])[H:54]>>[Br:9][C:25]([O:24][H:55])=[O:26].[C:1]([C:6]([H:30])([H:31])[H:32])([C:13]([H:37])([H:38])[H:39])([C:16]([H:40])([H:41])[H:42])[O:22][C:18]([C:15]([N:14]1[C:12]([H:35])([H:36])[C:11]([C:21]([H:49])([H:50])[H:51])([H:34])[N:10]([c:4]2[n:3][c:2]([H:29])[c:8]([C:27]([C:23]([H:52])([H:53])[H:54])([C:28]([H:57])([H:58])[H:59])[H:56])[c:7]([H:33])[n:5]2)[C:20]([H:47])([H:48])[C:19]1([H:45])[H:46])=[O:17])([H:43])[H:44],0
41,BF3K-Pd-Suzuki,[C:1]([C:6]([H:32])([H:33])[H:34])([C:13]([H:39])([H:40])[H:41])([C:16]([H:42])([H:43])[H:44])[O:22][C:18]([C:15]([N:14]1[C:12]([H:37])([H:38])[C:11]([C:21]([H:51])([H:52])[H:53])([H:36])[N:10]([c:4]2[n:3][c:2]([H:31])[c:8]([Br:9])[c:7]([H:35])[n:5]2)[C:20]([H:49])([H:50])[C:19]1([H:47])[H:48])=[O:17])([H:45])[H:46].[C:23]([B-:24]([F:25])([F:26])[F:27])([C:28]([H:55])([H:56])[H:57])([C:29]([H:58])([H:59])[H:60])[H:54]>>[Br:9][B-:24]([F:25])([F:26])[F:27].[C:1]([C:6]([H:32])([H:33])[H:34])([C:13]([H:39])([H:40])[H:41])([C:16]([H:42])([H:43])[H:44])[O:22][C:18]([C:15]([N:14]1[C:12]([H:37])([H:38])[C:11]([C:21]([H:51])([H:52])[H:53])([H:36])[N:10]([c:4]2[n:3][c:2]([H:31])[c:8]([C:23]([C:28]([H:55])([H:56])[H:57])([C:29]([H:58])([H:59])[H:60])[H:54])[c:7]([H:35])[n:5]2)[C:20]([H:49])([H:50])[C:19]1([H:47])[H:48])=[O:17])([H:45])[H:46],0
42,MIDA-Pd-Suzuki,[C:1]([C:6]([H:38])([H:39])[H:40])([C:13]([H:45])([H:46])[H:47])([C:16]([H:48])([H:49])[H:50])[O:22][C:18]([C:15]([N:14]1[C:12]([H:43])([H:44])[C:11]([C:21]([H:57])([H:58])[H:59])([H:42])[N:10]([c:4]2[n:3][c:2]([H:37])[c:8]([Br:9])[c:7]([H:41])[n:5]2)[C:20]([H:55])([H:56])[C:19]1([H:53])[H:54])=[O:17])([H:51])[H:52].[O:23]=[C:36]1[O:29][B:25]([C:24]([C:34]([H:68])([H:69])[H:70])([C:35]([H:71])([H:72])[H:73])[H:60])[O:26][C:27](=[O:28])[C:31]([H:64])([H:65])[N:32]([C:30]([H:61])([H:62])[H:63])[C:33]1([H:66])[H:67]>>[Br:9][B:25]1[O:26][C:27](=[O:28])[C:31]([H:64])([H:65])[N:32]([C:30]([H:61])([H:62])[H:63])[C:33]([H:66])([H:67])[C:36](=[O:23])[O:29]1.[C:1]([C:6]([H:38])([H:39])[H:40])([C:13]([H:45])([H:46])[H:47])([C:16]([H:48])([H:49])[H:50])[O:22][C:18]([C:15]([N:14]1[C:12]([H:43])([H:44])[C:11]([C:21]([H:57])([H:58])[H:59])([H:42])[N:10]([c:4]2[n:3][c:2]([H:37])[c:8]([C:24]([C:34]([H:68])([H:69])[H:70])([C:35]([H:71])([H:72])[H:73])[H:60])[c:7]([H:41])[n:5]2)[C:20]([H:55])([H:56])[C:19]1([H:53])[H:54])=[O:17])([H:51])[H:52],0
43,CEC-Ni-Weix,[C:1]([C:6]([H:28])([H:29])[H:30])([C:13]([H:35])([H:36])[H:37])([C:16]([H:38])([H:39])[H:40])[O:22][C:18]([C:15]([N:14]1[C:12]([H:33])([H:34])[C:11]([C:21]([H:47])([H:48])[H:49])([H:32])[N:10]([c:4]2[n:3][c:2]([H:27])[c:8]([Br:9])[c:7]([H:31])[n:5]2)[C:20]([H:45])([H:46])[C:19]1([H:43])[H:44])=[O:17])([H:41])[H:42].[C:23]([Br:24])([C:25]([H:51])([H:52])[H:53])([C:26]([H:54])([H:55])[H:56])[H:50]>>[Br:9][Br:24].[C:1]([C:6]([H:28])([H:29])[H:30])([C:13]([H:35])([H:36])[H:37])([C:16]([H:38])([H:39])[H:40])[O:22][C:18]([C:15]([N:14]1[C:12]([H:33])([H:34])[C:11]([C:21]([H:47])([H:48])[H:49])([H:32])[N:10]([c:4]2[n:3][c:2]([H:27])[c:8]([C:23]([C:25]([H:51])([H:52])[H:53])([C:26]([H:54])([H:55])[H:56])[H:50])[c:7]([H:31])[n:5]2)[C:20]([H:45])([H:46])[C:19]1([H:43])[H:44])=[O:17])([H:41])[H:42],0
44,Negishi-Pd,[C:1]([C:6]([H:29])([H:30])[H:31])([C:13]([H:36])([H:37])[H:38])([C:16]([H:39])([H:40])[H:41])[O:22][C:18]([C:15]([N:14]1[C:12]([H:34])([H:35])[C:11]([C:21]([H:48])([H:49])[H:50])([H:33])[N:10]([c:4]2[n:3][c:2]([H:28])[c:8]([Br:9])[c:7]([H:32])[n:5]2)[C:20]([H:46])([H:47])[C:19]1([H:44])[H:45])=[O:17])([H:42])[H:43].[C:23]([Zn:24][Br:25])([C:26]([H:52])([H:53])[H:54])([C:27]([H:55])([H:56])[H:57])[H:51]>>[Br:9][Zn:24][Br:25].[C:1]([C:6]([H:29])([H:30])[H:31])([C:13]([H:36])([H:37])[H:38])([C:16]([H:39])([H:40])[H:41])[O:22][C:18]([C:15]([N:14]1[C:12]([H:34])([H:35])[C:11]([C:21]([H:48])([H:49])[H:50])([H:33])[N:10]([c:4]2[n:3][c:2]([H:28])[c:8]([C:23]([C:26]([H:52])([H:53])[H:54])([C:27]([H:55])([H:56])[H:57])[H:51])[c:7]([H:32])[n:5]2)[C:20]([H:46])([H:47])[C:19]1([H:44])[H:45])=[O:17])([H:42])[H:43],0
45,BF3K-Ni-photoredox,[C:16]([B-:17]([F:18])([F:19])[F:20])([C:21]([H:32])([H:33])[H:34])([C:22]([H:35])([H:36])[H:37])[H:31].[c:1]1([H:24])[c:2]([Br:3])[c:4]([H:25])[n:5]2[c:6]3[c:8]([n:9][c:12]2[c:13]1[H:28])[C:15]([H:29])([H:30])[O:14][C:11]([H:26])([H:27])[C:7]3=[O:10]>>[Br:3][B-:17]([F:18])([F:19])[F:20].[c:1]1([H:24])[c:2]([C:16]([C:21]([H:32])([H:33])[H:34])([C:22]([H:35])([H:36])[H:37])[H:31])[c:4]([H:25])[n:5]2[c:6]3[c:8]([n:9][c:12]2[c:13]1[H:28])[C:15]([H:29])([H:30])[O:14][C:11]([H:26])([H:27])[C:7]3=[O:10],0
46,CEC-Ni-photoredox,[C:16]([Br:17])([C:18]([H:28])([H:29])[H:30])([C:19]([H:31])([H:32])[H:33])[H:27].[c:1]1([H:20])[c:2]([Br:3])[c:4]([H:21])[n:5]2[c:6]3[c:8]([n:9][c:12]2[c:13]1[H:24])[C:15]([H:25])([H:26])[O:14][C:11]([H:22])([H:23])[C:7]3=[O:10]>>[Br:3][Br:17].[c:1]1([H:20])[c:2]([C:16]([C:18]([H:28])([H:29])[H:30])([C:19]([H:31])([H:32])[H:33])[H:27])[c:4]([H:21])[n:5]2[c:6]3[c:8]([n:9][c:12]2[c:13]1[H:24])[C:15]([H:25])([H:26])[O:14][C:11]([H:22])([H:23])[C:7]3=[O:10],0
47,COOH-Ni-photoredox,[C:16]([C:20]([C:18]([O:17][H:32])=[O:19])([C:21]([H:34])([H:35])[H:36])[H:33])([H:29])([H:30])[H:31].[c:1]1([H:22])[c:2]([Br:3])[c:4]([H:23])[n:5]2[c:6]3[c:8]([n:9][c:12]2[c:13]1[H:26])[C:15]([H:27])([H:28])[O:14][C:11]([H:24])([H:25])[C:7]3=[O:10]>>[Br:3][C:18]([O:17][H:32])=[O:19].[c:1]1([H:22])[c:2]([C:20]([C:16]([H:29])([H:30])[H:31])([C:21]([H:34])([H:35])[H:36])[H:33])[c:4]([H:23])[n:5]2[c:6]3[c:8]([n:9][c:12]2[c:13]1[H:26])[C:15]([H:27])([H:28])[O:14][C:11]([H:24])([H:25])[C:7]3=[O:10],0
48,BF3K-Pd-Suzuki,[C:16]([B-:17]([F:18])([F:19])[F:20])([C:21]([H:32])([H:33])[H:34])([C:22]([H:35])([H:36])[H:37])[H:31].[c:1]1([H:24])[c:2]([Br:3])[c:4]([H:25])[n:5]2[c:6]3[c:8]([n:9][c:12]2[c:13]1[H:28])[C:15]([H:29])([H:30])[O:14][C:11]([H:26])([H:27])[C:7]3=[O:10]>>[Br:3][B-:17]([F:18])([F:19])[F:20].[c:1]1([H:24])[c:2]([C:16]([C:21]([H:32])([H:33])[H:34])([C:22]([H:35])([H:36])[H:37])[H:31])[c:4]([H:25])[n:5]2[c:6]3[c:8]([n:9][c:12]2[c:13]1[H:28])[C:15]([H:29])([H:30])[O:14][C:11]([H:26])([H:27])[C:7]3=[O:10],0
49,MIDA-Pd-Suzuki,[O:1]=[C:14]1[O:7][B:3]([C:2]([C:12]([H:38])([H:39])[H:40])([C:13]([H:41])([H:42])[H:43])[H:30])[O:4][C:5](=[O:6])[C:9]([H:34])([H:35])[N:10]([C:8]([H:31])([H:32])[H:33])[C:11]1([H:36])[H:37].[c:15]1([H:44])[c:16]([Br:17])[c:18]([H:45])[n:19]2[c:20]3[c:22]([n:23][c:26]2[c:27]1[H:48])[C:29]([H:49])([H:50])[O:28][C:25]([H:46])([H:47])[C:21]3=[O:24]>>[C:2]([C:12]([H:38])([H:39])[H:40])([C:13]([H:41])([H:42])[H:43])([c:16]1[c:15]([H:44])[c:27]([H:48])[c:26]2[n:19]([c:18]1[H:45])[c:20]1[c:22]([n:23]2)[C:29]([H:49])([H:50])[O:28][C:25]([H:46])([H:47])[C:21]1=[O:24])[H:30].[O:1]=[C:14]1[O:7][B:3]([Br:17])[O:4][C:5](=[O:6])[C:9]([H:34])([H:35])[N:10]([C:8]([H:31])([H:32])[H:33])[C:11]1([H:36])[H:37],0
50,CEC-Ni-Weix,[C:16]([Br:17])([C:18]([H:28])([H:29])[H:30])([C:19]([H:31])([H:32])[H:33])[H:27].[c:1]1([H:20])[c:2]([Br:3])[c:4]([H:21])[n:5]2[c:6]3[c:8]([n:9][c:12]2[c:13]1[H:24])[C:15]([H:25])([H:26])[O:14][C:11]([H:22])([H:23])[C:7]3=[O:10]>>[Br:3][Br:17].[c:1]1([H:20])[c:2]([C:16]([C:18]([H:28])([H:29])[H:30])([C:19]([H:31])([H:32])[H:33])[H:27])[c:4]([H:21])[n:5]2[c:6]3[c:8]([n:9][c:12]2[c:13]1[H:24])[C:15]([H:25])([H:26])[O:14][C:11]([H:22])([H:23])[C:7]3=[O:10],0
51,Negishi-Pd,[C:16]([Zn:17][Br:18])([C:19]([H:29])([H:30])[H:31])([C:20]([H:32])([H:33])[H:34])[H:28].[c:1]1([H:21])[c:2]([Br:3])[c:4]([H:22])[n:5]2[c:6]3[c:8]([n:9][c:12]2[c:13]1[H:25])[C:15]([H:26])([H:27])[O:14][C:11]([H:23])([H:24])[C:7]3=[O:10]>>[Br:3][Zn:17][Br:18].[c:1]1([H:21])[c:2]([C:16]([C:19]([H:29])([H:30])[H:31])([C:20]([H:32])([H:33])[H:34])[H:28])[c:4]([H:22])[n:5]2[c:6]3[c:8]([n:9][c:12]2[c:13]1[H:25])[C:15]([H:26])([H:27])[O:14][C:11]([H:23])([H:24])[C:7]3=[O:10],0
52,BF3K-Ni-photoredox,[C:1]([B-:2]([F:3])([F:4])[F:5])([C:6]([C:7]([H:25])([H:26])[H:27])([C:9]([H:31])([H:32])[H:33])[H:24])([C:8]([H:28])([H:29])[H:30])[H:23].[n:10]1[c:14]([H:35])[c:16]([H:37])[c:20]([H:40])[n:21]1-[c:19]1[c:11]([H:34])[c:12]([Br:13])[c:15]([H:36])[c:17]([H:38])[c:18]1[H:39]>>[B-:2]([F:3])([F:4])([F:5])[Br:13].[C:1]([C:6]([C:7]([H:25])([H:26])[H:27])([C:9]([H:31])([H:32])[H:33])[H:24])([C:8]([H:28])([H:29])[H:30])([c:12]1[c:11]([H:34])[c:19](-[n:21]2[n:10][c:14]([H:35])[c:16]([H:37])[c:20]2[H:40])[c:18]([H:39])[c:17]([H:38])[c:15]1[H:36])[H:23],0
53,CEC-Ni-photoredox,[C:13]([Br:14])([C:15]([C:16]([H:28])([H:29])[H:30])([C:18]([H:34])([H:35])[H:36])[H:27])([C:17]([H:31])([H:32])[H:33])[H:26].[n:1]1[c:5]([H:20])[c:7]([H:22])[c:11]([H:25])[n:12]1-[c:10]1[c:2]([H:19])[c:3]([Br:4])[c:6]([H:21])[c:8]([H:23])[c:9]1[H:24]>>[Br:4][Br:14].[n:1]1[c:5]([H:20])[c:7]([H:22])[c:11]([H:25])[n:12]1-[c:10]1[c:2]([H:19])[c:3]([C:13]([C:15]([C:16]([H:28])([H:29])[H:30])([C:18]([H:34])([H:35])[H:36])[H:27])([C:17]([H:31])([H:32])[H:33])[H:26])[c:6]([H:21])[c:8]([H:23])[c:9]1[H:24],0
54,COOH-Ni-photoredox,[C:1]([C:7]([C:5]([C:3]([O:2][H:24])=[O:4])([C:8]([H:30])([H:31])[H:32])[H:25])([C:6]([H:26])([H:27])[H:28])[H:29])([H:21])([H:22])[H:23].[n:9]1[c:13]([H:34])[c:15]([H:36])[c:19]([H:39])[n:20]1-[c:18]1[c:10]([H:33])[c:11]([Br:12])[c:14]([H:35])[c:16]([H:37])[c:17]1[H:38]>>[C:1]([C:7]([C:5]([C:8]([H:30])([H:31])[H:32])([c:11]1[c:10]([H:33])[c:18](-[n:20]2[n:9][c:13]([H:34])[c:15]([H:36])[c:19]2[H:39])[c:17]([H:38])[c:16]([H:37])[c:14]1[H:35])[H:25])([C:6]([H:26])([H:27])[H:28])[H:29])([H:21])([H:22])[H:23].[O:2]([C:3](=[O:4])[Br:12])[H:24],0
55,BF3K-Pd-Suzuki,[C:1]([B-:2]([F:3])([F:4])[F:5])([C:6]([C:7]([H:25])([H:26])[H:27])([C:9]([H:31])([H:32])[H:33])[H:24])([C:8]([H:28])([H:29])[H:30])[H:23].[n:10]1[c:14]([H:35])[c:16]([H:37])[c:20]([H:40])[n:21]1-[c:19]1[c:11]([H:34])[c:12]([Br:13])[c:15]([H:36])[c:17]([H:38])[c:18]1[H:39]>>[B-:2]([F:3])([F:4])([F:5])[Br:13].[C:1]([C:6]([C:7]([H:25])([H:26])[H:27])([C:9]([H:31])([H:32])[H:33])[H:24])([C:8]([H:28])([H:29])[H:30])([c:12]1[c:11]([H:34])[c:19](-[n:21]2[n:10][c:14]([H:35])[c:16]([H:37])[c:20]2[H:40])[c:18]([H:39])[c:17]([H:38])[c:15]1[H:36])[H:23],0
56,MIDA-Pd-Suzuki,[C:1]([N:9]1[C:7]([H:33])([H:34])[C:5](=[O:6])[O:4][B:3]([C:2]([C:8]([C:11]([H:38])([H:39])[H:40])([C:13]([H:41])([H:42])[H:43])[H:35])([C:15]([H:44])([H:45])[H:46])[H:32])[O:16][C:12](=[O:14])[C:10]1([H:36])[H:37])([H:29])([H:30])[H:31].[n:17]1[c:21]([H:48])[c:23]([H:50])[c:27]([H:53])[n:28]1-[c:26]1[c:18]([H:47])[c:19]([Br:20])[c:22]([H:49])[c:24]([H:51])[c:25]1[H:52]>>[C:1]([N:9]1[C:7]([H:33])([H:34])[C:5](=[O:6])[O:4][B:3]([Br:20])[O:16][C:12](=[O:14])[C:10]1([H:36])[H:37])([H:29])([H:30])[H:31].[C:2]([C:8]([C:11]([H:38])([H:39])[H:40])([C:13]([H:41])([H:42])[H:43])[H:35])([C:15]([H:44])([H:45])[H:46])([c:19]1[c:18]([H:47])[c:26](-[n:28]2[n:17][c:21]([H:48])[c:23]([H:50])[c:27]2[H:53])[c:25]([H:52])[c:24]([H:51])[c:22]1[H:49])[H:32],0
57,CEC-Ni-Weix,[C:13]([Br:14])([C:15]([C:16]([H:28])([H:29])[H:30])([C:18]([H:34])([H:35])[H:36])[H:27])([C:17]([H:31])([H:32])[H:33])[H:26].[n:1]1[c:5]([H:20])[c:7]([H:22])[c:11]([H:25])[n:12]1-[c:10]1[c:2]([H:19])[c:3]([Br:4])[c:6]([H:21])[c:8]([H:23])[c:9]1[H:24]>>[Br:4][Br:14].[n:1]1[c:5]([H:20])[c:7]([H:22])[c:11]([H:25])[n:12]1-[c:10]1[c:2]([H:19])[c:3]([C:13]([C:15]([C:16]([H:28])([H:29])[H:30])([C:18]([H:34])([H:35])[H:36])[H:27])([C:17]([H:31])([H:32])[H:33])[H:26])[c:6]([H:21])[c:8]([H:23])[c:9]1[H:24],0
